,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
38,GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),6/272,0.0010667061626615,0.0224008294158925,0,0,5.610259826782145,38.39201633247474,CSF1R;SEMA7A;GPER1;LEF1;CXCR4;LGR6
39,GO_Biological_Process_2023,Negative Regulation Of Developmental Process (GO:0051093),4/109,0.001204086812703,0.024653677490094,0,0,9.316872427983538,62.62833166114304,GRIN3A;WNT11;HEY1;FGFR3
40,GO_Biological_Process_2023,Positive Regulation Of Multicellular Organismal Process (GO:0051240),7/387,0.0013007911952322,0.0257243583498377,0,0,4.613529014844804,30.65589726673454,NPPB;LEF1;NOG;CXCR4;ETV4;FGF2;EREG
41,GO_Biological_Process_2023,SMAD Protein Signal Transduction (GO:0060395),3/51,0.0013315915235361,0.0257243583498377,0,0,15.142530487804878,100.26445484950855,ATOH8;SMAD9;SMAD6
42,GO_Biological_Process_2023,Secondary Palate Development (GO:0062009),2/13,0.0013506073370488,0.0257243583498377,0,0,43.6013143483023,288.08264376961074,WNT11;LEF1
43,GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Chemotaxis (GO:2001028),2/14,0.0015713649938221,0.0273851138835648,0,0,39.96586345381526,258.01204550417117,FGF18;FGF2
44,GO_Biological_Process_2023,Endoderm Development (GO:0007492),2/14,0.0015713649938221,0.0273851138835648,0,0,39.96586345381526,258.01204550417117,DUSP4;DUSP5
45,GO_Biological_Process_2023,Mammary Gland Epithelium Development (GO:0061180),2/14,0.0015713649938221,0.0273851138835648,0,0,39.96586345381526,258.01204550417117,CSF1R;ID2
46,GO_Biological_Process_2023,Peptidyl-Tyrosine Modification (GO:0018212),3/54,0.0015715511019872,0.0273851138835648,0,0,14.249641319942612,91.9912980980468,HCK;CSF1R;FGFR3
47,GO_Biological_Process_2023,Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344),3/55,0.0016571503162161,0.0282751272704387,0,0,13.974906191369604,89.47651458269102,FGF18;FGF2;FGFR3
48,GO_Biological_Process_2023,Positive Regulation Of Muscle Cell Differentiation (GO:0051149),2/15,0.0018081168721341,0.0302213820056701,0,0,36.889712696941615,232.97585087988176,MYOCD;OLFM2
49,GO_Biological_Process_2023,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),4/124,0.00193501642593,0.0316955690567345,0,0,8.146090534979423,50.89383670107748,NPPB;HCK;CSF1R;FGFR3
50,GO_Biological_Process_2023,Heart Morphogenesis (GO:0003007),3/59,0.0020285371140543,0.0324564388079262,0,0,12.97408536585366,80.44504278537157,MYLK2;HEY1;NOG
