,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
113,Reactome_2022,Microbial Modulation Of RIPK1-mediated Regulated Necrosis R-HSA-9686347,3/6,0.00180322399185,0.0181745997073303,0,0,20.568500539374327,129.95547042398627,RRM1;RIPK3;GNL3
114,Reactome_2022,Phosphorylation Of APC/C R-HSA-176412,5/20,0.0018587570664653,0.0185714075597273,0,0,6.866666666666666,43.17655117480887,CCNB1;UBE2C;UBE2S;PLK1;CDK1
115,Reactome_2022,Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313,7/39,0.0019180281423279,0.0189983994442657,0,0,4.511985373781148,28.229045317708803,RFC5;PCNA;RFC4;POLD1;POLE2;PCLAF;POLE
116,Reactome_2022,RHOC GTPase Cycle R-HSA-9013106,10/73,0.0019590900981875,0.0192392694257906,0,0,3.2793305728088336,20.447528426479547,ANLN;DEPDC1B;DIAPH3;TFRC;RACGAP1;PKN3;MCF2L;MCAM;IQGAP3;TJP2
117,Reactome_2022,Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430,5/21,0.0023472224159922,0.0225097762196903,0,0,6.437162162162162,38.97394379403721,CDC20;UBE2C;UBE2S;BUB1B;MAD2L1
118,Reactome_2022,Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,4/13,0.0023704812206984,0.0225097762196903,0,0,9.148548116150709,55.29988387673891,CCNB1;CHEK1;CDK1;CDC25C
119,Reactome_2022,Dissolution Of Fibrin Clot R-HSA-75205,4/13,0.0023704812206984,0.0225097762196903,0,0,9.148548116150709,55.29988387673891,PLAU;SERPINE1;PLAUR;SERPINB8
120,Reactome_2022,Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501,4/13,0.0023704812206984,0.0225097762196903,0,0,9.148548116150709,55.29988387673891,PRIM2;POLA1;POLA2;PRIM1
121,Reactome_2022,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,10/75,0.0024049033712318,0.0226494587995521,0,0,3.17809364548495,19.164685077513433,CDC20;PSMD8;CCNA2;CCNB1;UBE2C;UBE2S;CDK1;BUB1B;NEK2;MAD2L1
122,Reactome_2022,Extracellular Matrix Organization R-HSA-1474244,25/291,0.0024254827613887,0.0226575584783388,0,0,1.9528102023013336,11.759285424814848,LAMA5;COL15A1;PCOLCE2;SERPINE1;NTN4;PDGFA;LAMC2;ACAN;COL10A1;TIMP1;TGFB2;TGFB3;ITGA3;ACTN1;MMP9;ADAM19;BCAN;COL2A1;COL5A3;COL7A1;MMP17;ITGA8;SDC1;ITGA6;ITGA5
123,Reactome_2022,Non-integrin membrane-ECM Interactions R-HSA-3000171,7/41,0.0025866192583401,0.0239679478051036,0,0,4.246128353833408,25.29590017807145,LAMA5;ACTN1;NTN4;PDGFA;SDC1;LAMC2;ITGA6
124,Reactome_2022,Signaling By MAPK Mutants R-HSA-9652817,3/7,0.0030467199448465,0.0280054497330294,0,0,15.425566343042073,89.37094476075141,DUSP10;DUSP8;DUSP9
125,Reactome_2022,Golgi Cisternae Pericentriolar Stack Reorganization R-HSA-162658,4/14,0.0031975185433163,0.0291583238592892,0,0,8.233261339092872,47.303216886618635,CCNB2;CCNB1;PLK1;CDK1
126,Reactome_2022,Condensation Of Prophase Chromosomes R-HSA-2299718,7/43,0.003421095517819,0.0309514862202685,0,0,4.00981100276875,22.766882666506973,H2AZ1;CCNB1;NCAPG2;PLK1;CDK1;NCAPD3;SMC4
127,Reactome_2022,Amino Acid Transport Across Plasma Membrane R-HSA-352230,6/33,0.0037492546176022,0.0333945236870154,0,0,4.57984607984608,25.583928052984152,SLC38A1;SLC6A15;SLC6A12;SLC16A10;SLC7A11;SLC7A3
128,Reactome_2022,Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,6/33,0.0037492546176022,0.0333945236870154,0,0,4.57984607984608,25.583928052984152,TUBA1C;TUBB6;TUBB2B;TUBB3;TUBB4B;TUBA4A
129,Reactome_2022,Depolymerisation Of Nuclear Lamina R-HSA-4419969,4/15,0.0042013435513804,0.0371334133887398,0,0,7.484390339681917,40.95721029859185,CCNB1;CDK1;LPIN3;LMNB1
130,Reactome_2022,APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,5/24,0.0043678605124552,0.0383104712122979,0,0,5.419914651493599,29.44900856498932,CDC20;CCNB1;UBE2C;UBE2S;CDK1
131,Reactome_2022,Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231,14/136,0.0044126013969689,0.0384096894327068,0,0,2.373756174386141,12.873570205966445,KIF23;KIF11;KIF22;KIF15;CENPE;KIF18A;KIF18B;RACGAP1;KIFC1;PRKAR2A;MAFF;KIF2C;KIF20A;KIF20B
132,Reactome_2022,Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,9/69,0.0045285968731872,0.0391229910322714,0,0,3.096091205211726,16.71066659161275,PLK4;HAUS8;PLK1;CDK1;NEK2;HAUS6;TUBG1;TUBB4B;TUBA4A
133,Reactome_2022,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,8/57,0.0046403777754201,0.0397895079399833,0,0,3.3681880561335165,18.09713801042473,COL15A1;COL2A1;COL5A3;COL7A1;COL10A1;LAMC2;ITGA6;MMP9
134,Reactome_2022,NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508,5/25,0.0052541073832241,0.0447182917283297,0,0,5.148648648648648,27.02394462134356,HEYL;HEY1;WWC1;FABP7;DLGAP5
135,Reactome_2022,Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,11/97,0.0053619859114686,0.0452721609264555,0,0,2.642204620796113,13.81455777332619,PLK4;HAUS8;PLK1;CDK1;CEP83;KIF24;NEK2;HAUS6;TUBG1;TUBB4B;TUBA4A
136,Reactome_2022,Cell-extracellular Matrix Interactions R-HSA-446353,4/16,0.005397986115687,0.0452721609264555,0,0,6.860331173506119,35.82279254688015,ACTN1;ILK;FLNA;LIMS2
137,Reactome_2022,Golgi-to-ER Retrograde Transport R-HSA-8856688,12/112,0.0058865144639941,0.0490116312980378,0,0,2.4797385620915033,12.73368373867912,CENPE;KIF18A;KIF18B;RACGAP1;KIFC1;KIF23;KIF2C;KIF20A;KIF11;KIF22;KIF20B;KIF15
138,Reactome_2022,Base Excision Repair R-HSA-73884,9/72,0.0060132487045501,0.0497066385721445,0,0,2.948192957964945,15.076440039863368,RFC5;H2AZ1;NEIL3;RFC4;PCNA;POLD1;POLE2;POLE;UNG
