gene_id	symbol
CHM13_G0000376	RNU5E-4P
CHM13_G0000377	KIAA2013
CHM13_G0000378	PLOD1
CHM13_G0000379	AL096840.3
CHM13_G0000380	MFN2
CHM13_G0000381	AL096840.2
CHM13_G0000382	MIIP
CHM13_G0000383	AL096840.1
CHM13_G0000384	MIR6729
CHM13_G0000385	RN7SL649P
CHM13_G0000386	TNFRSF8
CHM13_G0000387	RNU6-777P
CHM13_G0000388	RPL23AP89
CHM13_G0000389	AL357835.1
CHM13_G0000390	MIR7846
CHM13_G0000391	TNFRSF1B
CHM13_G0000392	MIR4632
CHM13_G0000393	RPL10P17
CHM13_G0000394	SNORA70
CHM13_G0000395	MSTRG.53
CHM13_G0000396	SNORA59A
CHM13_G0000397	LINC02766
CHM13_G0000398	DHRS3
CHM13_G0000399	RNU6ATAC18P
CHM13_G0000400	MIR6730
CHM13_G0000401	AC254633.1
CHM13_G0000402	AADACL4
CHM13_G0000403	AC244670.1
CHM13_G0000404	AADACL3
CHM13_G0000405	C1orf158
CHM13_G0000406	PRAMEF12
CHM13_G0000407	PRAMEF1
CHM13_G0000408	LINC01784
CHM13_G0000409	PRAMEF11
CHM13_G0000410	PRAMEF30P
CHM13_G0000411	HNRNPCL1
CHM13_G0000412	PRAMEF2
LOFF_G0000012	AC243961.1
CHM13_G0000413	PRAMEF4
CHM13_G0000414	PRAMEF10
CHM13_G0000416	PRAMEF7
CHM13_G0000417	RNU6-1072P
CHM13_G0000419	PRAMEF29P
LOFF_G0000013	PRAMEF6
CHM13_G0000420	PRAMEF31P
CHM13_G0000421	PRAMEF18
CHM13_G0000422	PRAMEF13
CHM13_G0000423	PRAMEF28P
LOFF_G0000014	AC245056.1
CHM13_G0000424	PRAMEF9
CHM13_G0000425	HNRNPCL3
CHM13_G0000427	PRAMEF26
CHM13_G0000428	AC245056.1
CHM13_G0000429	PRAMEF36P
CHM13_G0000430	HNRNPCL2
CHM13_G0000431	PRAMEF35P
CHM13_G0000432	PRAMEF34P
LOFF_G0000015	AC245056.1
CHM13_G0000433	PRAMEF25
LOFF_G0000016	PRAMEF31P
CHM13_G0000434	PRAMEF5
LOFF_G0000017	PRAMEF32P
LOFF_G0000018	RNU6-771P
LOFF_G0000019	PRAMEF8
CHM13_G0000436	PRAMEF33
CHM13_G0000437	PRAMEF15
CHM13_G0000438	AC243961.1
CHM13_G0000439	PRAMEF14
CHM13_G0000440	PRAMEF19
CHM13_G0000441	PRAMEF17
CHM13_G0000442	PRAMEF20
CHM13_G0000443	LRRC38
CHM13_G0000444	AL354712.1
CHM13_G0000445	BRWD1P1
CHM13_G0000446	PDPN
CHM13_G0000447	RNA5SP41
CHM13_G0000448	AL359771.1
CHM13_G0000449	AL359771.2
CHM13_G0000450	MSTRG.54
CHM13_G0000451	KAZN
CHM13_G0000452	RNU6-1265P
CHM13_G0000453	AL357873.1
CHM13_G0000454	KAZN-AS1
CHM13_G0000455	TBCAP2
CHM13_G0000456	AL031293.1
CHM13_G0000457	TMEM51-AS1
CHM13_G0000458	TMEM51
CHM13_G0000459	C1orf195
CHM13_G0000460	MFFP1
CHM13_G0000461	ZBTB2P1
CHM13_G0000462	FHAD1
CHM13_G0000463	FHAD1-AS1
CHM13_G0000464	AL031283.2
CHM13_G0000465	AL031283.1
CHM13_G0000466	EFHD2
CHM13_G0000467	CTRC
CHM13_G0000468	CELA2A
CHM13_G0000469	CELA2B
CHM13_G0000470	CASP9
CHM13_G0000471	DNAJC16
CHM13_G0000472	SCARNA21B
CHM13_G0000473	AL121992.3
CHM13_G0000474	AGMAT
CHM13_G0000475	AL121992.1
CHM13_G0000476	CHCHD2P6
CHM13_G0000477	RNU7-179P
CHM13_G0000478	CD24P1
CHM13_G0000479	DDI2
CHM13_G0000480	RSC1A1
CHM13_G0000481	AL121992.2
CHM13_G0000482	PLEKHM2
CHM13_G0000483	AL450998.2
CHM13_G0000484	SLC25A34
CHM13_G0000485	SLC25A34-AS1
CHM13_G0000486	TMEM82
CHM13_G0000487	FBLIM1
CHM13_G0000488	RPL12P14
CHM13_G0000489	UQCRHL
CHM13_G0000490	FLJ37453
CHM13_G0000491	SPEN
CHM13_G0000492	AL034555.1
CHM13_G0000493	ZBTB17
CHM13_G0000494	AL355994.4
CHM13_G0000495	AL355994.1
CHM13_G0000496	AL355994.5
CHM13_G0000497	TBC1D3P6
CHM13_G0000498	SRARP
CHM13_G0000499	AL355994.3
CHM13_G0000500	HSPB7
CHM13_G0000501	CLCNKA
CHM13_G0000502	AL355994.2
CHM13_G0000503	CLCNKB
CHM13_G0000504	FAM131C
CHM13_G0000505	MSTRG.59
CHM13_G0000506	AL451042.2
CHM13_G0000507	AL451042.1
CHM13_G0000509	ARHGEF19-AS1
CHM13_G0000508	ARHGEF19
CHM13_G0000510	ANO7L1
CHM13_G0000511	AL109627.1
CHM13_G0000512	CPLANE2
CHM13_G0000513	MT1XP1
CHM13_G0000514	FBXO42
CHM13_G0000515	SZRD1
CHM13_G0000516	RPL22P3
CHM13_G0000517	SPATA21
CHM13_G0000518	NECAP2
CHM13_G0000519	LINC01772
CHM13_G0000520	CROCCP3
CHM13_G0000521	RNU1-1
CHM13_G0000522	AL137802.2
CHM13_G0000523	AL137802.3
CHM13_G0000524	AL137802.1
LOFF_G0000020	BX284668.4
CHM13_G0000525	LINC01783
CHM13_G0000526	RNU1-6P
LOFF_G0000021	AL355149.1
LOFF_G0000022	MIR3675
LOFF_G0000023	BX284668.1
CHM13_G0000527	NBPF1
LOFF_G0000024	AL137798.1
LOFF_G0000025	MST1P2
CHM13_G0000528	AL137798.2
CHM13_G0000529	AL355149.1
LOFF_G0000026	MIR3675
LOFF_G0000027	BX284668.1
LOFF_G0000028	AL137798.1
LOFF_G0000029	AL137798.3
LOFF_G0000030	MST1P2
LOFF_G0000031	CROCCP4
LOFF_G0000032	RNU1-4
LOFF_G0000033	AL137802.2
LOFF_G0000034	LINC01783
LOFF_G0000035	RNU1-6P
CHM13_G0000530	MST1L
CHM13_G0000531	CROCCP4
CHM13_G0000532	AL021920.3
CHM13_G0000533	AL021920.2
LOFF_G0000036	MIR3675
CHM13_G0000534	EIF1AXP1
CHM13_G0000535	ESPNP
CHM13_G0000536	AL021920.1
LOFF_G0000037	RNU1-5P
LOFF_G0000038	AL137802.2
CHM13_G0000537	CROCC
CHM13_G0000538	RNU1-4
LOFF_G0000039	MST1L
LOFF_G0000040	AL137798.2
CHM13_G0000539	CROCCP2
CHM13_G0000540	MST1P2
CHM13_G0000541	AL137798.3
CHM13_G0000542	AL137798.1
CHM13_G0000543	BX284668.1
CHM13_G0000544	BX284668.3
CHM13_G0000545	MIR3675
CHM13_G0000546	BX284668.2
CHM13_G0000547	RNU1-5P
CHM13_G0000548	BX284668.5
CHM13_G0000549	BX284668.4
LOFF_G0000041	AL137802.2
CHM13_G0000550	RNU1-2
CHM13_G0000551	BX284668.6
CHM13_G0000552	MFAP2
CHM13_G0000553	AC113174.1
CHM13_G0000554	AL049569.2
CHM13_G0000555	AL049569.1
CHM13_G0000556	ATP13A2
CHM13_G0000557	AL049569.3
CHM13_G0000558	SDHB
CHM13_G0000559	PADI2
CHM13_G0000560	LINC02783
CHM13_G0000561	AL590644.1
CHM13_G0000562	PADI1
CHM13_G0000563	PADI3
CHM13_G0000564	MIR3972
CHM13_G0000565	PADI4
CHM13_G0000566	PADI6
CHM13_G0000567	MSTRG.66
CHM13_G0000568	RCC2-AS1
CHM13_G0000569	ARHGEF10L
CHM13_G0000570	LINC02810
CHM13_G0000571	ACTL8
CHM13_G0000572	AL357509.1
CHM13_G0000573	LINC01654
CHM13_G0000574	IGSF21
CHM13_G0000575	AL365209.1
CHM13_G0000576	IGSF21-AS1
CHM13_G0000577	AL591896.1
CHM13_G0000578	KLHDC7A
CHM13_G0000579	DYNLL1P3
CHM13_G0000580	AL031737.1
CHM13_G0000581	PAX7
CHM13_G0000582	TAS1R2
CHM13_G0000583	ALDH4A1
CHM13_G0000584	MIR4695
CHM13_G0000585	MIR1290
CHM13_G0000586	IFFO2
CHM13_G0000587	AL137127.1
CHM13_G0000588	UBR4
CHM13_G0000589	EMC1-AS1
CHM13_G0000590	EMC1
CHM13_G0000591	MRTO4
CHM13_G0000592	AL035413.2
CHM13_G0000593	AKR7L
CHM13_G0000594	AKR7A3
CHM13_G0000595	AL035413.1
CHM13_G0000596	AKR7A2
CHM13_G0000597	RNU6-1099P
CHM13_G0000598	SLC66A1
CHM13_G0000599	CAPZB
CHM13_G0000600	RN7SL277P
CHM13_G0000601	MICOS10
CHM13_G0000602	RNU4-28P
CHM13_G0000603	AL031727.2
CHM13_G0000604	NBL1
CHM13_G0000605	MICOS10-NBL1
CHM13_G0000606	AL031727.1
CHM13_G0000607	HTR6
CHM13_G0000608	TMCO4
CHM13_G0000609	RNF186
CHM13_G0000610	AL391883.1
CHM13_G0000611	OTUD3
CHM13_G0000612	PLA2G2E
CHM13_G0000613	RN7SL304P
CHM13_G0000614	PLA2G2A
CHM13_G0000615	PLA2G5
CHM13_G0000616	PLA2G2D
CHM13_G0000617	PLA2G2F
CHM13_G0000618	Z98257.1
CHM13_G0000619	PLA2G2C
CHM13_G0000620	UBXN10-AS1
CHM13_G0000621	UBXN10
CHM13_G0000622	LINC01757
CHM13_G0000623	Z98257.2
CHM13_G0000624	VWA5B1
CHM13_G0000625	AL020998.1
CHM13_G0000626	LINC01141
CHM13_G0000627	AL139254.1
CHM13_G0000628	AL139254.2
CHM13_G0000629	AL139254.3
CHM13_G0000630	CAMK2N1
CHM13_G0000631	MUL1
CHM13_G0000632	RPS4XP4
CHM13_G0000633	FAM43B
CHM13_G0000634	CDA
CHM13_G0000635	PINK1
CHM13_G0000636	MIR6084
CHM13_G0000637	PINK1-AS
CHM13_G0000638	DDOST
CHM13_G0000639	KIF17
CHM13_G0000640	AL663074.2
CHM13_G0000641	SH2D5
CHM13_G0000642	AL663074.1
CHM13_G0000643	HP1BP3
CHM13_G0000644	EIF4G3
CHM13_G0000645	RNU7-200P
CHM13_G0000646	MIR1256
CHM13_G0000647	RPS15AP6
CHM13_G0000648	AL627311.1
CHM13_G0000649	HSPE1P27
CHM13_G0000650	AL031005.2
CHM13_G0000651	ECE1
CHM13_G0000652	AL031005.1
CHM13_G0000653	ECE1-AS1
CHM13_G0000654	PPP1R11P1
CHM13_G0000655	AL592309.1
CHM13_G0000656	AL592309.2
CHM13_G0000657	NBPF2P
CHM13_G0000658	HS6ST1P1
CHM13_G0000659	CROCCP5
CHM13_G0000660	MSTRG.78
CHM13_G0000661	PFN1P10
CHM13_G0000662	ALPL
CHM13_G0000663	LINC02596
CHM13_G0000664	RAP1GAP
CHM13_G0000665	USP48
CHM13_G0000666	AL590103.1
CHM13_G0000667	LDLRAD2
CHM13_G0000668	HSPG2
CHM13_G0000669	AL590556.1
