,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qvalue,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),sig
Fat1,59053.999945539705,-0.12452575699686994,0.15127218588250885,-0.8231900416484197,0.41039993098765404,0.7737851695661019,0.7737851695661019,0.3867927209266582,0.11137959826084264,59053.999945539705,15.849771591437111,-0.12452575699686994,0.12452575699686994,normal
Psap,63209.876085650394,-0.04756991844343956,0.03938688958394799,-1.2077602203659803,0.22713950676552996,0.610010205671581,0.610010205671581,0.6437073216232497,0.21466289903878227,63209.876085650394,15.947885189927554,-0.04756991844343956,0.04756991844343956,normal
Col6a2,58923.751326491445,-0.012719937184960745,0.04120630165715763,-0.30868912456139497,0.7575580174243639,0.9348864546619811,0.9348864546619811,0.12058410119873877,0.029241132558705155,58923.751326491445,15.846586144593926,-0.012719937184960745,0.012719937184960745,normal
Ltbp2,65118.99115599598,0.2330853759540184,0.05019139704627779,4.643930826215248,3.418420570881227e-06,9.804488853296869e-05,9.804488853296869e-05,5.466174506747926,4.008575042891564,65118.99115599598,15.990812883219924,0.2330853759540184,0.2330853759540184,sig
Ahnak,53330.72557568972,-0.2591742764259826,0.051382338324449134,-5.044034290332411,4.55817558702565e-07,1.649746037198358e-05,1.649746037198358e-05,6.3412089492285775,4.782582906169327,53330.72557568972,15.702706387473143,-0.2591742764259826,0.2591742764259826,sig
Timp2,57293.10283773784,0.05086079260294213,0.037882590939636154,1.3425901275862053,0.1794047288408137,0.5422969719998171,0.5422969719998171,0.7461661137868844,0.2657628205091181,57293.10283773784,15.806099032587802,0.05086079260294213,0.05086079260294213,normal
Pkm,60054.6716210865,-0.290335316610331,0.04233826130968654,-6.857516289737324,7.0068037329996315e-12,5.267037465448789e-10,5.267037465448789e-10,11.154480047322897,9.278433592411496,60054.6716210865,15.874012879156158,-0.290335316610331,0.290335316610331,sig
App,51363.01885125364,-0.124114473639382,0.04130489502146407,-3.004836922473377,0.0026572327752994503,0.02972493998272427,0.02972493998272427,2.5755703994474426,1.5268790135872516,51363.01885125364,15.648470466549066,-0.124114473639382,0.124114473639382,sig
Mmp2,38662.45471595315,-0.16571903952922495,0.040200970955492854,-4.1222646018349955,3.751659077878783e-05,0.0008414171777780268,0.0008414171777780268,4.42577663386523,3.074988625979521,38662.45471595315,15.238682932745084,-0.16571903952922495,0.16571903952922495,sig
Lgals1,59420.51060549637,0.09255107561011301,0.04431205196946923,2.088620849106248,0.03674186688211309,0.2114705430434115,0.2114705430434115,1.4348387806376781,0.6747501194693822,59420.51060549637,15.858697661184518,0.09255107561011301,0.09255107561011301,normal
Pabpc1,54458.839396701725,-0.05726999940575702,0.03817961194369545,-1.5000152303856493,0.1336104573769205,0.46827108403590184,0.46827108403590184,0.8741595493203708,0.32950265928256106,54458.839396701725,15.732905107397123,-0.05726999940575702,0.05726999940575702,normal
Ecm1,56102.9262885258,0.01789265710478025,0.04061852829172354,0.44050481042234285,0.6595715290128489,0.9012449885253111,0.9012449885253111,0.18073809932751705,0.04515713720938533,56102.9262885258,15.775814117206604,0.01789265710478025,0.01789265710478025,normal
Eif4g2,54023.26299944297,0.005245185129825996,0.039978475625832656,0.13120022831577763,0.8956169153499618,0.9736142247836971,0.9736142247836971,0.047877712576511286,0.011613089564416678,54023.26299944297,15.721319865481039,0.005245185129825996,0.005245185129825996,normal
Rpl4,51218.888605597676,-0.028892975124728656,0.04303475108912451,-0.6713870626297249,0.5019739844651785,0.8315851808982696,0.8315851808982696,0.2993187902175102,0.0800932585318291,51218.888605597676,15.644416494875957,-0.028892975124728656,0.028892975124728656,normal
Timp3,59895.7294851888,0.786776238881632,0.0396647083986366,19.835674347442723,1.4653815243271621e-87,3.341314105719984e-84,3.341314105719984e-84,86.83404928838958,83.47608269587674,59895.7294851888,15.870189609870454,0.786776238881632,0.786776238881632,sig
Hspa5,63602.8610980022,0.36610240007310707,0.04102470788344231,8.923948980045438,4.49951180619523e-19,6.995206934154197e-17,6.995206934154197e-17,18.346834604308455,16.15519943356215,63602.8610980022,15.95682672710091,0.36610240007310707,0.36610240007310707,sig
Rpsa,51749.969597176954,-0.0003918457415583855,0.04637545784026369,-0.008449420443633457,0.9932584180970172,0.9979267399563262,0.9979267399563262,0.0029377455098608374,0.0009013400758962723,51749.969597176954,15.659298272498313,-0.0003918457415583855,0.0003918457415583855,normal
Actg1,60854.93067638022,0.33411607674750304,0.04041057240758018,8.268036230163121,1.3618351254736093e-16,1.634321609789864e-14,1.634321609789864e-14,15.865875468363999,13.786662476803995,60854.93067638022,15.893110246275993,0.33411607674750304,0.33411607674750304,sig
Hdlbp,54042.99855246976,0.06045572456274524,0.04004402999998585,1.5097312773656049,0.13111200694368477,0.46337869892499733,0.46337869892499733,0.8823575347735987,0.3340639341885927,54042.99855246976,15.72184679881722,0.06045572456274524,0.06045572456274524,normal
Tubb5,56378.11706562742,0.09789525434254302,0.016779609929737208,5.834179385126874,5.4055941246364556e-09,2.6698170837238753e-07,2.6698170837238753e-07,8.267156566119368,6.573518492287341,56378.11706562742,15.78287326407334,0.09789525434254302,0.09789525434254302,sig
Msn,55979.91864891733,0.18758045094993558,0.03808091433063631,4.925838947071343,8.399916431734036e-07,2.8166484485919937e-05,2.8166484485919937e-05,6.075725034583035,4.550267354776439,55979.91864891733,15.772647541332784,0.18758045094993558,0.18758045094993558,sig
Tpm4,55990.59354753735,0.04246674141575905,0.040547422990379896,1.047335151874745,0.2949450289948006,0.6809218598848914,0.6809218598848914,0.5302589190348248,0.16690272328238095,55990.59354753735,15.77292261997567,0.04246674141575905,0.04246674141575905,normal
Pdgfrb,44240.830268595935,-0.13717611044718195,0.04445040247871382,-3.0860487824125356,0.0020283554155329695,0.02384014642603656,0.02384014642603656,2.692855944072109,1.6226910814895028,44240.830268595935,15.433123450131278,-0.13717611044718195,0.13717611044718195,sig
Thy1,46957.23084231463,0.0683628378967431,0.03858561717582216,1.7717181400840576,0.07644135691303659,0.3361749225448938,0.3361749225448938,1.1166716123729923,0.473434686513971,46957.23084231463,15.519090435290881,0.0683628378967431,0.0683628378967431,normal
Pdia3,45760.3060646862,-0.0016092315081871066,0.04002246448884602,-0.04020820628463767,0.96792713525329,0.9914469759684978,0.9914469759684978,0.014157334787150762,0.0037305075404388682,45760.3060646862,15.481840607936656,-0.0016092315081871066,0.0016092315081871066,normal
Itga11,35020.21828450107,-0.21824755272538485,0.04118618258514758,-5.29904786087382,1.1640812018320643e-07,4.684057330077785e-06,4.684057330077785e-06,6.934016723915027,5.329377798060806,35020.21828450107,15.095941651283132,-0.21824755272538485,0.21824755272538485,sig
