,log2FC_Treat_6h_vs_Control,padj_Treat_6h_vs_Control,log2FC_Treat_24h_vs_Control,padj_Treat_24h_vs_Control,log2FC_Treat_72h_vs_Control,padj_Treat_72h_vs_Control,Cluster,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Rcan1,-0.09857952018842282,0.7815224403009993,0.0662279315791161,0.8777038043734082,0.0570584381160798,0.7788162004528286,,4.437815145170195,4.56107661191241,4.3868550904452706,4.407677946780318,4.715843874931427,4.432956672515194,4.471550093675646,4.522169595858855
Itpk1,-0.5680249418163986,0.00018360477211390108,0.21885919601160414,0.2369961117644025,-0.09775779622992649,0.6100951363918313,,4.556931122764322,4.594028631971863,4.025615224450251,4.031189052865032,4.832159442682026,4.774415341365735,4.34018265255354,4.506658965712445
Mospd3,0.12124743750658645,0.7346473953320137,0.10483406722519131,0.7676986776589861,0.6488031093256085,9.111746766362875e-06,,4.218406716843759,4.361192865033262,4.46461242930463,4.325872428960928,4.500093516283775,4.308816587401164,4.741708610721369,4.9607434101666
Rybp,0.14341061385510598,0.6389044641036912,0.13035787848258265,0.6592116477930584,0.6449369212943573,5.383386300568516e-06,,4.249370170074692,4.308560374119928,4.411966550324095,4.401986060454226,4.423413201748877,4.416889298196361,4.888014822636676,4.78616708835113
Cep83,0.3888018722886264,0.012150420672130428,-0.0717361770156758,0.852420364035918,-1.1006492719070349,1.8545385640315777e-11,4.0,4.685405616441161,4.475245225264205,4.95062445796057,4.956920768292927,4.569596840688044,4.502278577975917,3.4887262804313033,3.5077464285692352
Nr2c1,0.09598170498951793,0.8074624155335887,0.08877892719756675,0.811704634738796,0.33115762745814803,0.03821059094968412,,4.460675215102828,4.2845373165384215,4.3888023355485135,4.531014333821285,4.566283003948993,4.389706176485856,4.633638959579383,4.64059377987194
Gm11560,0.08036569622676187,0.837475160873098,0.036843863289476676,0.9387176159807008,-0.5995181199215597,0.0001635023021884273,,4.48936787511915,4.685541637947447,4.731828700548517,4.57888651379503,4.544555514312945,4.731755090585056,3.9562973772025134,3.9716150655909903
Irf7,-0.6213647798695215,0.003201897940388374,-1.0887510934126183,3.0868407240862104e-12,0.7755737636586416,0.22814282161042515,2.0,4.446748264882942,4.685541637947447,3.7014266865544148,4.202507289531282,3.5013263422181655,3.6233205205011525,4.664908962950391,5.695112335997752
Nudt5,-0.12419502983999843,0.6797540280165332,-0.02709502461061101,0.9532035731872531,-0.6610242752442346,1.309120421659947e-05,,4.590713961934513,4.732172949656683,4.51362108570332,4.555148979325533,4.651625857485241,4.654684085279463,3.9512332433938684,4.003889921780859
Card19,0.22144559505829653,0.2685336908077367,-0.05012607507188688,0.8976724945361786,-0.42818679788062586,0.0063913623170943155,,4.505336556934575,4.579293289755713,4.765191139724679,4.727371219399395,4.54959867236588,4.473222752935574,4.06812040608944,4.089672506958334
